"ID","sheet_nr","place","GID","LONG","LAT","utm_e","utm_n","single/double","gender","profession","age","born_at_place","standing_at_place","birthplace","birthplace_father","birthplace_mother","farmer_rate","drive_to_for_shopping","comment_questions","comment_dubletten","comment_socialdata","comment_general","comment_special questions","a).heute","b).neue","c).breit","d).kein","e).unser","f).Kirche","g).Keller","h).arm","i).wachsen","k).Tochter","l).Hunde","m).nichts","1..Kartoffel","2..Futterrübe.(gelbliche.Runkelrübe)","3..Pflaume","4..Zwetschge","5..Überrest.des.gegessenen.Apfels,.der.fortgeworfen.wird","6..Apfelbäumchen","7..Mehrzahl.von.Apfelbäumchen","8..Spitze.des.Baumes","9..Das.Beschneiden.der.Bäume","10.(Das.Heu)","11.(Der.zweite.Schnitt.des.Grases)","12..Der.Wetzsteinbehälter","13..Der.Quark.(weicher,.weißer.Käse)","14..Die.Gurke","15..kleinblättrige.Salatpflanze","16..Stachelbeere","17..Brombeere","18..Die.Hagebutte","19..Die.Herbstzeitlose","20..Der.Enterich","21..Die.Ziege","22.(die.Kuh.ist.brünstig)","23.der.Kater","24..der.Star","25..die.Zimmerfliege","26.Schmetterling","27..Maikäfer","28..Marienkäfer","29..Ameise","30..Der.hohe.runde.Kuchen","31..Die.Decke.des.Zimmers","32..Der.Speicher.des.Hauses","33..Die.Fußbank","34..a).Obertasse","34..b).Untertasse","35..Stecknadel","36..Stricknadel","37..Zwirn","38.Das.Petroleum","39.Der.Handbesen","40.Die.Bremse.am.Wagen","41.Die.Deichsel","42.Die.Peitsche","43..Sarg","44..Brunnen","45..Der.über.den.beladenen.Heuwagen.zum.Festhalten.des.Heues.gelegte.Baum","46.a).Granne.beim.Korn","46.b).Granne.beim.Weizen","46.c).Granne.bei.der.Gerste","47..Die.Schwarzbeere.(Heidelbeere)","48..Maulwurf","49.Die.Jauche","50.""arbeiten""","51.Die.Getreidegarbe","52.Der.Weihnachtsbaum","53:.der.Flieder","54:.weinen","55:.schimpfen","56:.ausspucken","57.(Wir.wollen.unter.den.Baum.vor.dem.Haus.gehen)","58.a..herüber","58.b..drüben","59.(der.eiserne.Topf;.der.irdene.Topf)","60..Das.Geschwätz.(Geratsch,.Tratsch,.Geschwafel)","61..Schubkarre","62..auf.der.Eisbahn.(ohne.Schlittschuhe).gleiten","63.Eine.Bürde.Holz","64.Die.hängende.Schaukel","65.Der.Rückentragekorb","66.Die.Dachrinne","67.die.Kerze","68.a).die.Milch","68.b).die.ungekochte.saure.Milch","69.Die.Fetschicht.auf.der.ungekochten.Milch","70.die.Haut.auf.der.gekochten.Milch","71.Der.Haushahn","72.Der.Zuchtstier","73.Das.männliche.Zuchtschwein","74.Das.weibliche.Zuchtschwein","75.Der.Sperling","76.Die.Elster","77.(Fledermaus)","78..Das.Nest","79..Der.jünste.Vogel.im.Nest","80..Die.Frau,.die.die.Entbindung.der.Wöchnerinnen.vornimmt","81..Der.Pate","82..Das.Begräbnis","83..Der.Gebräbnisplatz","84..Das.Mahl.nach.dem.Begräbnis","85.(der.böse.Bruder.ist.tot)","86.(Ihr.habt.euch.im.Schnee.verlaufen)","87..""Du.hast.mich.fest.gehalten""","88.""Als.wir.gestern.Abend.heimkamen,.waren.die.anderen.schon.fest.am.schlafen""","89..""Ich.habe.ein.neues.Kleid""","90:.""Die.Kinder.sind.nicht.stehen.geblieben""","91:.die.über.der.Krippe.angebrachte.Raufe.im.Pferdestall.(für.das.Heu!)","92:.der.Rückstand.beim.Keltern.(Treber,.Trester)","93:.Jahrmarktähnliches.Fest.(Kirmes,.Kerwe,.Chilwe)","94.(Am.Mittwoch.ist.ein.Dieb.an.den.Kirschen.gewesen)","95..Die.Zeit.zwischen.Weihnachten.und.Dreikönigstag","96..Butter","97..Buttermilch","98..Der.Ortsname.in.mundartlicher.Form","I..a).An.welchem.Termin.wechseln.die.Dienstboten.den.Platz?","I..b).Wie.heißt.der.Wechseltag?","II..a).Woraus.besteht.die.1..Mahlzeit.am.Tag?","II..b).Wie.heißt.sie?","III..a).Wann.werden.in.Ihrem.Ort.große.Festfeuer.angezündet?","III..b).Welches.ist.der.volkstümlich.(mundartliche).Name.des.Feuers?","IV.","V.","VII.","VIII."
353,"Co m 12","Algolsheim",30240,7.55708,48.00563,392377.544885869,5317933.2509055,"E","m","Landwirt","64","Ja","Geburt","Algolsheim","Algolsheim","Algolsheim","90","Kolmar","zu 2.: Die Mehrzahl Durlipsa wurde zusätzlich angegeben; zu 95.: diese Zeit hat hier keinen besonderen Namen; IIIa): ""nie""",NA,NA,NA,"IIIa): ""nie""","hit","nei","breit","ke","unser","Kirch","Kallr","arm","wagsa","Dochtr","Hind","nix","Herdepfl","Durlips","Pflüm","Zwatschga","Butza","Epflbeimla","Epflbeimlr","Doldr","Beimbutza","Hei","Ohmd","Kumpf","Zigr","Gugum¯re","Sunnawirwala (Rabgrassa) ","Grüselbeera","Bromerda","Buda","Herstzitlos","Ratschr","Geiß","D'Küe isch rindirig","Rollr","Stor","Muga","Millrmalr","Majakafr","Herrgottsvegala","Omais","Kuglupf","Deck","Bin","Schamel","Schissala","Dallerla","Guf","Stricknodl","Fada","Petroll","Kehrwisch","Fahrbrams","Dissl","Riama","Sarg, Dodabaim","Brunna","Wisbaim","Gran","Gran","Gran","Heidlbeera","Schallnialr","Mischtlach","schaffa","Garba","Wihnachtsbaim","Lila","hila","schalda","spoie","Mr wann untr d'r Boim vor m Hüs geh","heriwr","driwi","a) de isig Hafa b) de ardig Hafa","Plaiderei","Stoßkarra","schliffa","a Bindl Holz","Gugi ","Graz ","Kahnla ","Kerz","a) Milch","b) Surmilch ","Ruhm ","Hütt","Güller","Munni","Abr","Mohr","Spatz","Agrscht","Fladermus ","Nascht","Naschtduttr","Hewamm","Pfettr","Licht","Gottsacker","Lichtaimmis","De bes Brueder isch dot","Ihr han ich im Schnee verloffa","dü hesch mich feschtghalda","Wu mr geschdrt zowa heimkumma sinn, sinn d'anderi scho fech am schlofa gsi ","Ich hab a nei Klaid","d'Kindr sinn nit steh bliwa","Barra","Trawara","Kilwa","Am Mittwoch isch a Schelm (Diab) an de Kirsa gsi","Manche sagen: Losdag","Buttr","Bunglmilch","Algelsa","am 26.dezember.","Staffasdag","Kaffee","Morgaassa","k.A.","k.A.","90","Neubreisach","NOCH NICHT ÜBERTRAGEN","NOCH NICHT ÜBERTRAGEN"
354,"Co m 13","Umgebung von Neubreisach (Weckolsheim)",30355,7.51347,48.00264,389118.489865188,5317662.74878024,"E","m","Lehrer","29","Nein","1936","Wöklinshofen","Wöklinshofen","Wöklinshofen","56.000000000000007","Neubreisach, Kolmar","18: d'Butt (Einzahl) d'Butta (Mehrzahl) ",NA,NA,NA,"18: d'Butt (Einzahl) d'Butta (Mehrzahl) ","het","nej","breit","ke, kena","unser","Kerch","Kaller","å¯rm","wåchsa","Tochter, Maïdla","Hund","nix","Hardäpfel","Turnips, Derleps","Pflüm","Zwatschg","Putza","a Äpfelbaimle","d' Äpfelbaimle","Zipfel","Baim schnieda","Hai","Ahmt","dr Kumpf","Steger, Bibalakas","Gugumer","Hetscherle","d'Grüsele","d'Brumbeer","d'Butt, d'Butta","d'Geftblüam","d'r Ratscher","d'Gaiß","d' Küah isch rendrig","d'r Katzaroller","d'r Stor","d' Muck","Summervogel","d'r Maiakafer","Liawaherrgottsvegela, Liawaherrgottstiarla","d' Omeis","Kugelupf","Plafon","Behn","Schamel","Tassla","Tåssadallerla","Guf","Strecknodel","Fåda","s Petrol","d'r Kehrwesch","d' Brams","d'r Dissel","d'r Riama","Totabåim","Brunna","Wesbåim","Ågla, Kornågel","Ågla, Waisaågel","Ågla, Garstaågel","d' Heidelbeer","Scharnialer","d' Meschtlåch","schåffa","d' Gårb","d'r Wihnachtsbåim","d'r Lila","hila","schalta, briala","üsspeia","M'r wann unter d'r Båim vorm Hps geh","ariwer","d'hiwa","a) d'r Kochhå¯fa -topf b) de Hå¯fa","s' Ratscha, s' Schwåidra","d'r Stoßkårra","schliffa","a Wall Holz ","a Reitzel ","d'Hutt","d'r Kahner","d'Kerz (die große), a Büschi (die kleine) ","a) d'Melch","b) Sürmelch ","d'r Rähm ","d'Hütt","d'r Güller","d'r Munni","d'r Awer","d'Mohr","d'r Spåtz","d'Elschter","d'Fladermus","Nascht","Naschtgrüber","Hewåm","Pfetter","Licht","Kerchhoff","Lichtaassa","D'r bes Brüader esch dot","Ihr han ech em Schnee verloffa","dü hesch mich g'hebt","Wu m'r geschtert z'owa heim kumma sen, han d'andri schu fescht g'schlofa","Ich hå a nej Kleid","d'Kender sen net steh blewa","d'r Bårra","Tråwra","Kelb ","Åm Mettwuch esch a Schelm an d'r Kerscha gseh","d' Lostag","d'r Butter","d' Bunkelmelch","Wackelsa","k.A.","k.A.","Milchkaffe und Brot","s'Morgaassa","Fastnachtsonntag","Fåsanåchtsfier","56.000000000000007","Neubreisach u. Umg.","NOCH NICHT ÜBERTRAGEN","NOCH NICHT ÜBERTRAGEN"
355,"Co n 1","Betzenhausen ",130929,7.81511,48.00987,411630.047062615,5318076.4389122,"E","m","Hauptlehrer","50","Nein","1931","Lörrach","Ettlingen","Oggenau","8","Freiburg","zu 43: (""bei den Alten""); zu 62:  (""(kein) = r.d. Alten!""); zu 79.: wird von den Alten gebraucht; Ia): ""nicht bestim¯t""; IIIa): ""keiner""",NA,"""Betzenhausen ist als Vorort in seinem Brauchtum stark verwässert v. der Stadt her. Wertvolle Sitten u. Überlieferungen sind in den letzten Jahrzehnten eingetauscht worden gegen Kitsch u. Tingeltangel der Oberfläche in der Stadt.""",NA,"zu 43: (""bei den Alten""); zu 62:  (""(kein) = r.d. Alten!""); Ia): ""nicht bestim¯t""; IIIa): ""keiner""","hüit","neue","brait","kein","unser","Kirche","Keller","arm","wachse","Dochter","Hünd'","nit","Härdäpfel","Runkelruebe","Pflume","Zwatschge","Butzge","Äpfelbäumli","Äpfelbäumli","Dolde","uusschnïde","Heu","Öhmd","Kumpf","Bibbeliskas","Gugummere","Sonnewirbeli ","Stachelbeeri ","Brombeere","Hagebutte","Herbstzeitlose","Enterich ","Gais","rindrig","Rolli","Stoor","Mugge","Schmetterling","Maikafer","Muttergotteskäfer","Omeise","Gugelupf","Decke","Büni","Schemel","Tasse","Kaffeteller","Gufe","Stricknådel","Fade","Erdöl","Wischer","Meganik","Disle","Geisle","Totenbaum ","Brunnen","Wisbaum","Graane","Graane","Graane","Heidelbeeri","Schärmuus","Mistlache","schaffe","Garbe","Winäbaum","Ziringge","hiile","schälte","speie","Mr wänn under de Boim vor em Hüüs go","rum","dänne","a) iiserne Haafe b) irdener Haafe","Gschwätz","Schaltkarre","uusrutsche","Bündel ","Guugi ","Hudde","Kääner ","Schandle (alt) ","a) Milch","b) Suurmilch ","Raum ","Hutt","Guller","Muuni","Eber","Saue","Spatz","Äggerscht","Flädermüüs ","Nascht","Äschepfludder","Hebamme","Göddi","Liichd","Gottsacker","k.A.","k.A.","Ihr hann eich im Schnee verloffe","du hesch mi ghebt","Wo m'r heimkomme sind, hen di andre scho gschloofe ","Ich han en neue Rock","die Kinder sin net stohbliibe","Kripfe","Treber","Mess'","An Mittwuch isch e Dieb a de Chriese gsi","k.A.","Anke","Buttemilch","Bätzehuse","k.A.","k.A.","Kaffee","k.A.","k.A.","k.A.","8","Freiburg","NOCH NICHT ÜBERTRAGEN","NOCH NICHT ÜBERTRAGEN"
356,"Co n 2","Reute",133080,7.82538,48.08175,412517.799440649,5326053.76665199,"E","m","Lehrer","44","Nein","15 Jahre","Freiburg","Unterwittstadt","Freiolsheim","50","Freiburg, Emmendingen ","Ia): ""früher Stefanstag""",NA,NA,NA,"Ia): ""früher Stefanstag""","hit","neui","breit","kein","unser","Kirch","Kaller","arm","wåchse","Dochder","Hund","nit","Herdepfel","Runkelruebe, Dickruebe","Pflüme","Zwatschge","Butzge","Epfelbaimli","d' Epfelbaimli","Dolde","usbutze, abzwiege","Hai","Ähmd","Kumpf","Bibilikäs","Gugumere","Sunnewirbili ","Stachelbeer","Brumbele","Hagebutte","Herbstzeitlose","Ratsch","Gais","d' Kuh isch rindrig","Rolli","Stor","Mucke","Summervogel","Maiekafer","Liebherrgottstierle","Omeise","Gugelupf","Deggi","Bühni","Stueli","Schüßle","Daller","Güfli","Stricknodle","Fade","Erdöl","Base","Miggi","Dissele","Geisle","Sarg","Brunne","Wisbaum","Halme","Halme","Halme","Heibere","Schar","Saich","schaffe","Garbe","Christbaum","Flieder","hiele, bouele","schalde","speie","Mir wenn under de Baum vor em Hüs go ","rum","duri","a) Hafe b) Steihafe","Gschwatz","Schukarre","schliefere","e Walle ","Gügi ","Krätze ","Kähner ","Keerze","a) Milch","b) süri Milch ","Millera ","Hütt","Guller","Muni","Aber","Moor","Spatz","Agersche","Fladermüs","Nest","Nestpflütter","Hebamm","Geddi","Lich","Godsagger","k.A.","Dr bäs Bruader ist dod","ihr henn eich im Schnee verloffe","du hesch mi ghebt","Wo mr geschter z'Obe heimkumme sin, hen die andere schu fescht g'schlofe ","Ich han e nei Gleid","die Kinder sin nit stobliebe","Raufe","Trebere","Kilwi ","Am Mittwoch isch a Schelm an de Griese gsi","k.A.","Butter, Anke","Stoßmilch","Riddi","k.A.","Bündelistag","Kaffee u. Brot","k.A.","k.A.","k.A.","50","Freiburg, Emmendingen","NOCH NICHT ÜBERTRAGEN","NOCH NICHT ÜBERTRAGEN"
357,"Co n 3","Umkirch",131293,7.7624,48.03183,407738.15662923,5320578.92852822,"E","m","Hauptlehrer","63","Nein","13455","Veggingen","Veggingen","Veggingen","75","Freiburg","Ib): ""nicht bekannt""; IIIa): ""keine""",NA,NA,NA,"Ib): ""nicht bekannt""; IIIa): ""keine""","hüt","neu","breit","kein","unser","Kirch","Keller","arm","wachsen","Tochter","Hünd","nit","Herdäpfel","Runkelruben","Pflume","Zwetschge","Apfelbutzig","Apfelbäumle","Äpfelbäumle","Dolder","Bäum schnieden","Heu","Öhmd","Kumpf","Bibilekäs","Gugumere","Sonnenwirbele","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","Heidelbeere","Scharmaus","Mistlache","schaffen","Garben","Christbaum","Zyringe","hielen","brüelen","speien","Gleich / wir wollen unter den Baum vorm Haus go ","rüber","durri","a) Kasserole, Riene, Bratpfanne b) S Hafen","Quatsch","Schaltkarren, Schubkarren","schleifen, schliffere","Burde ","Gugi ","Hutte","Dachrinne, Kähner ","Kerze 0","a) Milch","b) sure Milch ","Raum ","Huut","Guller","Muni","Aber","Moor","Spatz","Ägester","Fladermüs","Nest","Äschepflutter","Hebamme","Gädde","ich gang an d'Liich","Gottsacker","Liichtessen","Dr bös Bruader ist tot","Ihr habt euch im Schnee verloffen","du häst mi ang'hebt","... , hän die andere schon gschlofen ","Ich han en neuen Rock","d'Kiner sind nit stohbliebe","Raufe","Trebere","Chilwe","An Mittwoch ist a Dieb an de Chriese gsi","Lostage","Butter","Buttermilch","Umkirch","k.A.","k.A.","Kaffee, Brot","Morgenessen","k.A.","Für","75","Freiburg","NOCH NICHT ÜBERTRAGEN","NOCH NICHT ÜBERTRAGEN"
358,"Co n 4","Merdingen",134143,7.68864,48.0173,402212.036715969,5319054.97179707,"M","k.A.","Schüler der Oberklasse, Bauern (Kontrolle durch Umfrage bei einzelnen Bauern)","10 bis 14, k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","98","Freiburg","15: vereinzelt Rabinzili; zu 28: ""Muettergottistierli (""vereinzelt"")""; Zu 78:  ä-Striche eingeklammert; 70: älter: Hax, Häx; zu 96.: alte Leute sagen Anke; Iib): Punkte über ä in Klammern",NA,NA,NA,"15: vereinzelt Rabinzili; zu 28: ""Muettergottistierli (""vereinzelt"")""; Zu 78:  ä-Striche eingeklammert; 70: älter: Hax, Häx; Iib): Punkte über ä in Klammern","hit","nei","brait","kai","unser","Kirch(e)","Kaeller","årm","wåchse","Dochter","Hind","nit","Hardepfel","Runkelruebe","Pflume","Zwatschge","Butzge","s' Epfelbaimli","d' Epfelbaimli","Dolde","zwige","Hai","A_hmd","dr Kumpf","Bibilika_s","Gu<U+030D>gumere","Sunnewirbili ","Schtachelber","Brumber","Hågebutte","Herbschtzitlos","Rätscher","Gais","isch schtierig","Rolli","Schtor","Mugge","Summervogl","Maieka(ä)fer ","Muettergottiska(e)fer, Muettergottistierli","Omaise","Kugelupf","Decki","Bini, darüber dr Hora(ä)che","Schtiali","Schissle","k.A.","Gi_fli","Schtricknådl","Fa(o)de","Berolium","Ke(ä)rwisch","Mechanig","Disle","Gaisle","Sårg","Brunne","Wi_sbaum","Grå_ne","Grå_ne","Grå_ne","Haidlber","Scha(ä)rmus","Mischtlåch","schåffe","Garbe","Winebaum","Flider","hile","brie<U+0363>¨le","schpeie","Mir wånn undr undr de Baum vorem Hüs go ","riebr","da_(ä)ne","a) isene Hafe b) ""","s' Gschwa(ä)tz","Schalkarre","schliffere","k.A.","Gugi ","Hutte<U+0363>¨","Kaner, Käner","Kärze","a) Milch","b) süre Milch ","Rum, Rüm ","Hutt, Hütt ","Gullr","Muni","A <U+0363>¨geschte","Mor","Schpaz","A ¨geschte","Flädermus","Näscht","Naschti, Näschti","Hebamm","Getti","Licht","Kirchhoft","k.A.","Dr bes bruedr isch dot","Ir han eich im Schneei vrloffe","Ir han eich im Schnee vrloffe","Wu mr geschtert z'obe gaimkumme sin, hän di andere scho fescht gschlofe ","Ich ha e neue Rock","d'Kindr sin nit schto blibe","Båre","Trebere","Kilbi ","Am Mittwuche isch einer an de Kriese gsi","d' Losdäg","Buttr","Rundlmilch","Märdinge","k.A.","k.A.","Kaffee mit Milch, Brot mit Butter oder Gutz","ds' Morgeässe","Sonntag nach Fasnacht","Schibbefir","98","Freiburg, weniger Breisach","NOCH NICHT ÜBERTRAGEN","NOCH NICHT ÜBERTRAGEN"
359,"Co n 5","Neuershausen",128117,7.76972,48.0689,408349.653875697,5324690.30229936,"E","m","Ratschreiber","43","Nein","Kindheit","Kenzingen","Kenzingen","Kenzingen","k.A.","Freiburg",NA,NA,NA,NA,NA,"hüt","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","Herdepfel","Runkelruabe","Pflüme","Zwätschge","Butzgen","Epfelbäumle","Epfelbäum","Dolde","Abzwiegen","k.A.","Ohmd","Kumpf","Bibilikäs","Gugummer","Sunnewirbele","k.A.","k.A.","k.A.","k.A.","Rätsch","Geis","stierig","Rolli","k.A.","k.A.","k.A.","k.A.","Muttergotteskaferle","Omeise","Kügelhupf","k.A.","bühne","Stühlchen","Schüssele","Dellrle","Gifle","k.A.","k.A.","Erdöl","Kehrwisch","Miggi","Disle","Geisle","k.A.","k.A.","Wisbaum","k.A.","k.A.","k.A.","k.A.","Scheermus","Mistlache","schaffen","k.A.","Christbaume","k.A.","schreie, brüelle","schelten","speien","k.A.","dennen","hennen","k.A.","k.A.","Schaltkarre","schliffere","Welle ","Gugi ","Huttä","Kähner ","k.A.","a) k.A.","b) Surmilch ","Rahm","Hut","Guller","Stier","Eber","Moor","Spatz","Ageste","k.A.","Näst","Äschenbludder","Hebamm","Göddi, Goddi","Licht","Gottsackr","k.A.","k.A.","k.A.","k.A.","k.A.","k.A.","Stoah","Raufe","Treber","k.A.","k.A.","k.A.","k.A.","Surmilch","Neuershuse","k.A.","k.A.","Kaffee mit Brot","k.A.","Sonnwend","Füür","k.A.","Firma Streckfuß, Rodia, Ziegarief. -  Metz.","NOCH NICHT ÜBERTRAGEN","NOCH NICHT ÜBERTRAGEN"
360,"Co n 6","Hochdorf",130678,7.80212,48.0489,410728.697196289,5322429.35954531,"E","m","Lehrer","65","Nein","20 Jahre","Karlsdorf bei Bruchsal","Untergrambach","Bruchsal","k.A.","Freiburg","zu 84.: dieser Gebrauch ist hier nicht Sitte; Ia): ""kein besonderer Tag. Wenig Dienstboten (Kleinbauern)"", für a und b; Ib): ""kein besonderer Tag. Wenig Dienstboten (Kleinbauern)"", für a und b; Iib): ""auch Morgenesse""; IIIa): ""Solcher Brauch wird hier nicht gepflegt"", für a und b; IIIb): ""Solcher Brauch wird hier nicht gepflegt"", für a und b",NA,NA,NA,"Ia): ""kein besonderer Tag. Wenig Dienstboten (Kleinbauern)"", für a und b; Ib): ""kein besonderer Tag. Wenig Dienstboten (Kleinbauern)"", für a und b; Iib): ""auch Morgenesse""; IIIa): ""Solcher Brauch wird hier nicht gepflegt"", für a und b; IIIb): ""Solcher Brauch wird hier nicht gepflegt"", für a und b","hit","neui","breit","kein","unser","Kirch","Käller","arm","wachse","Dochder","Hind","nix","Härdöpfl","Runkelruewe","Pflume","Zwätschge","Butzge","Äpfelbäumli","Äpfelbäumli","Dolde","zwige","Hai","Ähmd","Kumpf","Bibiliskäs","Gugumere","Sunnewirbili ","Gruselbeere","Brombeere","Hagebutte","Herbzeitlose","Rätscher","Gaiss","rinderig","Katzerolli","Stare","Fliége","Schmetterling","Maiekafer","Frauedierli","Omaise","Kugellupf","Degi","Biehni","Stüéli","Schussili","Dällerli","Gifli","Stricknodel","Fade","Erdöl","Kehrwisch","Miggi","Diesle","Gaisle","Sarg","Brunna","Wiesbaum","Grane","Grane","Grane","Heidelbeere","Schar","Gille","schaffe","Garwe","Christbaum","Zyringe","hile","schelde","speie","m'r wen unt'r d' Baum vor's Hus gah","rum","num","a) iserner Hafe b) irdener Hafe","G'schwatz","Schuck_karre","schlifere","Wäle ","Gugi ","Hutte","Käner","Kerze, Schandle","a) Milch","b) Surmilch ","Müllere, Rahm ","Hut","Guller","Muni","Ewer","Mor","Spatz","Elster","Flâdermus","Näst","Nasthocker","Hewam","Götti","Licht","Gottsacker","k.A.","d'r bös Bruedr isch dod","Ihr henn euch im Schnee verloffe","du hesch mi ghebt","Wu mir geschtr zobe heimkumme sin, henn die andere schu fescht gloffe ","Ich ha en neue Rock","die Kinder sin nit stah bliewe","Raufe","Trewere","Chilwi ","Am Mittwoch isch an Dieb an d'r Kriese gsi","Die Zit zwische Wihnachte un Drei König","der Butt'r","Stoßmilch","Hochdorf","k.A.","k.A.","Kaffee","Kaffee","k.A.","k.A.","k.A.","Freiburg, Hugstetten (Cigarrenfbk)","NOCH NICHT ÜBERTRAGEN","NOCH NICHT ÜBERTRAGEN"
361,"Co n 7","Holzhausen",133022,7.79978,48.07044,410591.621929272,5324826.1252378,"E","m","Hauptlehrer","54","Nein","5845","Dielheim","Horrenberg Kreis Heidelberg","Dielheim","98","Freiburg",NA,NA,NA,NA,NA,"hit","näi","brait","kai","unser","Kirch","Kaller","arm","wachse","Dohchder","Hind","nitt","Hardepfel","Gelruebe, Runkelruebe","Pflüme","Zwatschge","Butzge","Äpfelbaimli","Äpfelbaimli","Dolde","usbutze","Hai","Ohmd","Kumpf","Bibbelikäs","Gugumere","Sunnewirweli ","Grüselbeere","Brumbeere","Hagebutte","Herbschtzittlose","k.A.","Gaihs","Die Kue ist rinderig","Rolli","Stor","Fliege","Schmatterling","Maiekafer","Muttergotteskafer","Ameise","Gugellupf","Degi","Bini","Stüeli","Schisseli","Dällerli","Gifli","Stricknodle","Fade","Erdöl","Mehlwisch","Migi","Diesle","Geisle","Sarig","Brunne","Wiesbaum","Grane","Grane","Grane","Heidelbeere","Schar","Gille","schaffe","Garwe","Christbaum","Flieder","hile","schelde","schbeie","k.A.","rum","dane","a) Isehafe b) Schisle","Gschwatz","Schukarre","schliffere","ne Wälle","Gugi ","k.A.","Kaner ","k.A.","a) Milch","b) Surmilch ","Rahm","Hutt","Guller","Muni","Eber","Mor","Schbatz","Ägerscht","Fladermus","Nescht","k.A.","Hewamm","Gedi","Licht","Gottsacker","Leichenschmaus","k.A.","k.A.","du hesch mi ghebt","k.A.","Ich ha nä nai Kleid","d'Kinder sin nitt stoh bliebe","Raufe","Trewere","k.A.","k.A.","Lostag","Anken","Stoßmilch","Holzhuse","verschieden","Bindelistag","Kaffee u. Brot","z'morge-esse","Sonntag u. Fastnacht","Schibefür","98","nach Freiburg","NOCH NICHT ÜBERTRAGEN","NOCH NICHT ÜBERTRAGEN"
362,"Co n 8","Gottenheim",131858,7.72686,48.04969,405121.535294062,5322607.12412189,"E","m","Lehrer","61","Nein","21 Jahre","Oberbergen","Oberbergen","Oberbergen","80","Freiburg","bei g): 'e' breit; 20: a breit; 53: das in allemanisch; 55:er het gsch.; Zu 78:  ""e breit"", hatte zuerst a geschrieben, dann korrigiert; 63: ""e"" breit; zu 95.: kein bes. Ausdruck; IIIa): nicht zuzuordnen ob für a, b oder beide Fragen; zu 84.: gibt's hier nicht; IIIb): nicht zuzuordnen ob für a, b oder beide Fragen",NA,NA,NA,"bei g): 'e' breit; 20: a breit; 53: das in allemanisch; 55:er het gsch.; Zu 78:  ""e breit"", hatte zuerst a geschrieben, dann korrigiert; 63: ""e"" breit; IIIa): nicht zuzuordnen ob für a, b oder beide Fragen; IIIb): nicht zuzuordnen ob für a, b oder beide Fragen","hitt","neie","breit","kei","unser","Kirche","Keller","arm","wachse","Dochter","Hund","nix","Herdepfel (e breit)","Runkelruawe","Pfütle","Zwetschge (e breit)","Butzge","Epfelbäumle","Epfelbaim","Dolde","werjage","Hei","Ehmd","Kumpf","Bibbiliskäs","Gugummer","Sonnewirbele","Stachelbeer","Bromele","Hagebutte","Herbschtzeitlos","Ratscher ","Jeck","stierig","Rolli","Store","Mugge","Schmetterling","Maikafer","Mutter-K<U+0227>lbla","Omeise","Gugelhupf","Decki","Bieni","Stieleli","Schisseli","Untertässli","Gifli","Stricknodle","Fade","Erdel","Kehrwisch","Miggi","Dissle","Geißle","Sarg","Brunne","Wißbaim","Grane","Grane","Grane","Heidelbeer","Schermüs","Gilla","schaffen","Garwe","Wihnetbaûm","Flieder ","heile","gschumpfe ","schpeie, gschpeit","Mr wänn unt'r de Boim vorm Hus geh","häne","däne","a) Riene b) Hafe","Gautsche","Schalkarre","schlifere","Welle ","Gükle ","Hutte","Kaner","Kerze","a) Milch","b) süre Milch ","Rähm ","Hut","Güler","Muhni","Awer","Moor","Spatz","Ägrischte","Fladermüs","Nescht","k.A.","Hewam","Getti","Licht","Kirchhof","k.A.","De bes Bruader isch tod","Ir hannich im Schnee velaife","du hesch mi ghebbt","Wie mer heim kume sin hen die andere scho g'schnarchlet ","I ha e nei Kleid","d'Kindr sin nitt stoh bliwe","Raife","Trewere","Kilwe (Kirchweihe)","Am Mittwuche isch e Schelm an dir Krese gsie","k.A.","Anki","Rudelmilich","Gottene","27.XII","Bindelisdag","Kaffee","Kaffee trinke","Mittwoch nach Fastnacht","Mittwoch nach Fastnacht","80","Freiburg u. am Ort, selbst (Zigarren)","NOCH NICHT ÜBERTRAGEN","NOCH NICHT ÜBERTRAGEN"
