"","ID","utm_n","place","utm_e"
"100",1049,5338252.8206176,"Boozheim (Bootzheim)",393757.708086994
"101",1050,5337786.73736406,"Mackenheim",393411.478944098
"102",1,5428642.20564393,"Dambach",399932.10876882
"103",2,5433923.45893055,"Wengelsbach",406198.170492712
"104",3,5432223.05943372,"Obersteinbach",404518.590226358
"105",4,5431530.52366197,"Niedersteinbach",406069.201624757
"106",5,5431020.98394624,"Wingen",413539.511341058
"107",6,5428941.03443273,"Lembach",411468.459971097
"108",7,5432216.13995718,"Weißenburg-Weiler",420533.568456218
"109",8,5432134.49785601,"Weißenburg (Wissembourg)",423411.839649651
"110",9,5431477.74977222,"Altenstadt",424685.090515333
"111",10,5430798.46510584,"Rott",420537.381795907
"112",11,5429885.85998023,"Oberhoffen-lès-Wissembourg",420910.441883933
"113",12,5429218.64348191,"Steinselz (Steinseltz)",421780.800997444
"114",13,5428149.32609079,"Kleeburg (Cleebourg)",419046.59305503
"115",14,5430096.69616865,"Klimbach (Climbach)",415947.22146561
"116",38,5421840.55618973,"Oberbronn",398081.593159655
"117",39,5422905.17877126,"Bad-Niederbronn (Niederbronn-Les-Bains)",400636.512805789
"118",40,5422905.17877126,"Niederbronn (GID von Niederbronn les bains)",400636.512805789
"119",41,5422905.17877126,"Bad-Niederbronn (Niederbronn-Les-Bains)",400636.512805789
"120",42,5420783.12239915,"Reichshofen (Reichshoffen)",402104.873174248
"121",43,5427397.00222734,"Lembach-Pfaffenbronn (Pfaffenbronn)",414494.212306172
"122",44,5426813.23353743,"Mattstall",409376.78237017
"123",45,5423347.66540873,"Lampertsloch",413408.252844195
"124",47,5422752.53636694,"Görsdorf (Goersdorf)",409788.014377911
"125",48,5421863.97837542,"Preuschdorf",412441.806646494
"126",49,5421322.14283813,"Merkweiler (Merkwiller-Pechelbronn)",414104.794686955
"127",50,5420989.69292132,"Diefenbach (Dieffenbach-Lès-Woerth)",410230.446761275
"128",51,5419876.4287695,"Oberdorf-Spachbach",408945.667551108
"129",52,5421187.37039188,"Wört (Woerth)",407998.716383519
"130",53,5421926.81733289,"Fröschweiler (Fr?schwiller)",406397.390151392
"131",54,5423899.51709883,"Nehweiler (Nehwiller)",405076.77963212
"132",55,5424684.49838274,"Langensulzbach (Langensoultzbach)",407319.360050893
"133",56,5427185.67389001,"Riedselz (Riedseltz)",423332.532410502
"134",57,5426482.17826176,"Bremmelbach",419538.182150523
"135",58,5425062.7722132,"Ingolsheim",422162.142179568
"136",59,5424301.59069798,"Oberseebach",426039.287131697
"137",60,5422835.92021025,"Hunspach",422628.87333646
"138",61,5420643.2758143,"Aschbach",425488.85909745
"139",62,5419581.98809765,"Stundweiler (Stundwiller)",426202.895907671
"140",63,5419548.7265828,"Leitersweiler (Leiterswiller)",422914.312800171
"141",64,5419954.38845552,"Hofen (Hoffen)",422445.200158948
"142",65,5418463.48208837,"Kühlendorf (Kuhlendorf) und Hohweiler",421095.847292637
"143",66,5420898.29206768,"Hermersweiler (Hermerswiller)",420323.142882689
"144",67,5422696.66496419,"Schönenburg (Schoenenbourg)",420441.892821202
"145",68,5421145.15801783,"Sulz u. W. (Soultz-Sous-Forêts)",418175.416066671
"146",69,5420721.54315424,"Kutzenhausen",416232.362325339
"147",70,5422531.53223941,"Retschweiler (Retschwiller)",417880.919301002
"148",71,5423637.74594517,"Memmelshofen (Memmelshoffen)",417361.320069043
"149",72,5424154.76102958,"Keffenach",418188.203523164
"150",73,5425422.41708591,"Birlenbach",418254.435765673
"151",74,5426543.15401507,"Drachenbronn",417354.021188869
"152",75,5424013.46012678,"Lobsann",415591.546305293
"153",76,5421263.70538689,"Oberkutzenhausen",415086.878967162
"154",119,5419476.07262758,"Zinsweiler",396717.741531873
"155",120,5418497.54036902,"Offweiler",393238.531221175
"156",121,5418013.93586974,"Rotbach",392193.469954579
"157",124,5414911.69815021,"Uhrweiler (Uhrwiller)",395807.253071184
"158",125,5415605.41694267,"Engweiler",398466.805358281
"159",126,5417846.19774111,"Gumbrechtshofen",399745.701948134
"160",127,5417930.60352703,"Gundershofen",401748.31244449
"161",128,5414803.04562075,"Mietesheim",400165.462211534
"162",129,5412676.4562131,"Bitschhofen",398715.751489186
"163",130,5411515.22884471,"Überach (Uberach)",399350.005036072
"164",131,5411162.72613528,"Niedermodern",399227.692326948
"165",132,5411071.78781577,"Pfaffenhofen",397929.221218166
"166",133,5413093.68086511,"Kindweiler",397122.491339879
"167",137,5411071.78781577,"Pfaffenhofen -Volksberg",397929.221218166
"168",138,5418835.60498321,"Gunstett",409496.585974262
"169",139,5418415.39040277,"Eberbach",406001.185433241
"170",140,5416586.48796962,"Forstheim",405792.165852561
"171",141,5417142.24655967,"Morsbronn (Morsbronn-Les-Bains)",407865.142616071
"172",142,5416156.27807672,"Hagenheim (Hegeney)",408049.732223986
"173",143,5416709.68430366,"Dürrenbach (Durrenbach)",409701.030691852
"174",144,5417032.73368719,"Biblisheim",411464.872084564
"175",145,5415547.29941564,"Walburg",411252.824982917
"176",146,5414277.68702376,"Eschbach",407346.912824788
"177",147,5415092.20225998,"Laubach",406180.509683849
"178",148,5413021.52410857,"Merzweiler (Mertzwiller)",403140.756513807
"179",149,5416098.31001943,"Griesbach",403135.530290011
"180",150,5418463.48208837,"Kühlendorf (Kuhlendorf)",421095.847292637
"181",151,5418462.35212383,"Reimersweiler",418245.162594865
