"","ID","place","DWA_grid","utm_e","utm_n"
"83",520,"Oberhagental (Hagenthal-le-Haut)"," 11a''",384794.648331981,5264332.93189509
"84",521,"Niederhagental (Hagenthal-le-Bas)"," 11a''",385343.954232045,5264502.23914943
"85",522,"Mittelmüspach-Niedermüspach (Muespach)"," 11a''",378155.912990049,5267254.82594025
"86",523,"Buchsweiler (Bouxwiller)"," 11a''",375265.182961076,5262591.66397971
"87",525,"Werenzhausen (Werentzhouse)"," 11a''",376368.925885043,5263912.42528931
"88",526,"Fislis"," 11a''",378220.227359546,5262462.69566858
"89",527,"Steinsulz (Steinsoultz)"," 11a''",375320.478800309,5268218.58026501
"90",246,"Ostheim"," 11t'",378784.190792889,5334823.72505271
"91",247,"Munzenheim (Muntzenheim)"," 11t'",386332.198714481,5328763.52095462
"92",248,"Bischweier"," 11t'",383659.0629814,5328533.64679909
"93",249,"Holzweier"," 11t'",382794.793427085,5329756.55952371
"94",250,"Riedweier"," 11t'",384310.260288763,5331236.80820036
"95",251,"Wickerschweier"," 11t'",383775.308121379,5329380.77301001
"96",252,"Jebsheim"," 11t'",386715.17372503,5331068.6316695
"97",253,"Hausen bei Kolmar (Houssen)"," 11t'",379199.946969311,5331468.00944461
"98",254,"Elsenheim"," 11t'",388554.850019308,5335317.65917761
"99",255,"Fortschweier"," 11t'",384753.123473832,5327457.4714668
"100",256,"Grussenheim"," 11t'",387523.440050803,5333444.33187449
"101",264,"Dürrenenzen (Dürrenentzen)"," 11t'",388609.32443419,5327599.15620209
"102",312,"Munzenheim (Muntzenheim)"," 11t'",386332.198714481,5328763.52095462
"103",337,"Weier auf dem Land (Wihr-en-Plaine)"," 11t'",381676.225934818,5326901.94674695
"104",341,"Urschenheim"," 11t'",387277.560423642,5327073.70944663
"105",271,"Endingen"," 13t'",403525.066965962,5332885.28874043
"106",272,"Riegel"," 13t'",407080.117199966,5333789.22754722
"107",273,"Nimburg"," 13t'",409030.315272012,5328984.08115509
"108",274,"Bottingen"," 13t'",409419.79814886,5327151.33918334
"109",275,"Malterdingen"," 13t'",410316.383341923,5335122.79364466
"110",276,"Schelingen am Kaiserstuhl"," 13t'",401962.881705205,5328737.12117915
"111",277,"Eichstetten"," 13t'",406600.847859583,5327527.8787972
"112",278,"Köndringen"," 13t'",411166.69567165,5332452.48528254
"113",279,"Forchheim"," 13t'",403563.897661172,5335276.05828441
"114",280,"Bahlingen"," 13t'",406185.57605501,5330638.66383061
"115",281,"Teningen"," 13t'",410965.397302662,5331327.21051192
"116",282,"Amoltern"," 13t'",401504.031222032,5331455.50629675
"117",290,"Mundingen"," 13t'",413298.050921917,5332223.02191424
"118",292,"Landeck"," 13t'",413777.491908577,5333570.95785684
"119",1065,"Heimbach"," 13t'",412952.966597757,5335168.75974556
"120",1216,"Bergbieten"," 11o'",386313.291549195,5381505.76217337
"121",1217,"Bergbieten"," 11o'",386313.291549195,5381505.76217337
"122",1218,"Dangolsheim"," 11o'",386876.279341622,5381027.40443915
"123",1219,"Still"," 11o'",382276.332338076,5378609.61286138
"124",1220,"Dinsheim (Dinsheim-Sur-Bruche)"," 11o'",383920.763541613,5377798.25103241
"125",1221,"Mutzig"," 11o'",385620.543168407,5377399.91710213
"126",1222,"Molsheim"," 11o'",388593.15667273,5377463.86373529
"127",1223,"Dorlisheim"," 11o'",388168.191976328,5375729.84401449
"128",1224,"Heiligenberg"," 11o'",381275.227656963,5377347.34689971
"129",1225,"Gressweiler"," 11o'",384241.746904585,5377032.17291363
"130",1226,"Rosenweiler"," 11o'",384841.414700158,5373701.77808896
"131",1227,"Mollkirch"," 11o'",380737.270309722,5373973.7571358
"132",1230,"Flexburg"," 11o'",384318.178091874,5381080.44683345
"133",1231,"Sulzbad (soultz-Les-Bains)"," 11o'",388391.123383282,5380983.85673765
"134",1240,"Avolsheim"," 11o'",389359.802059664,5379807.21615364
"135",33,"Mackweiler (Mackwiller)"," 11m'",380776.15634388,5398248.3765615
"136",1075,"Zabern"," 11m'",379868.807896927,5399783.47893839
"137",1076,"Zabern"," 11m'",379868.807896927,5399783.47893839
"138",1077,"Zabern"," 11m'",379868.807896927,5399783.47893839
"139",1078,"Ottersweiler (Otterswiller)"," 11m'",380776.038126103,5398242.81885063
"140",1079,"Schweinheim (Schwenheim)"," 11m'",383273.994241188,5396767.96161211
"141",1080,"Furchhausen"," 11m'",385200.149410663,5397358.70836074
"142",1081,"Altenheim"," 11m'",387060.731415206,5397418.77564855
"143",1082,"Lupstein"," 11m'",388603.265133758,5399397.27835999
"144",1083,"Lupstein"," 11m'",388603.265133758,5399397.27835999
"145",1084,"Friedolsheim"," 11m'",388570.541253662,5396010.81365496
"146",1085,"Männolsheim"," 11m'",386876.447911815,5395212.95249545
"147",1086,"Wolschheim"," 11m'",386037.61528454,5395662.49760385
"148",1087,"Lochweiler"," 11m'",383455.694775891,5394922.6758421
"149",1088,"Kleingöft"," 11m'",385473.405954282,5394344.03072932
"150",1089,"Westhausen (Westhouse-Marmoutier)"," 11m'",385892.496069953,5393701.65372013
"151",1090,"Knörsheim"," 11m'",386682.467205485,5393115.19748056
"152",1091,"Landersheim"," 11m'",389355.136544631,5394110.47935875
"153",1092,"Tal bei Maursmünster (Marmoutier)"," 11m'",378750.361645341,5395715.19524628
"154",1093,"Maursmünster"," 11m'",380858.320317309,5394322.23764353
"155",1094,"Reutenburg"," 11m'",382709.075027775,5393681.6472937
"156",1095,"Dimbstal"," 11m'",379209.861773399,5392371.35969386
